time,.left,.right,.forward,.stop,.sound
2020/10/19/16:06:23.768846,0,1,0,0,0
2020/10/19/16:06:23.773410,0,1,0,0,0
2020/10/19/16:06:23.781248,0,1,0,0,0
2020/10/19/16:06:23.783468,0,1,0,0,0
2020/10/19/16:06:23.788882,0,1,0,0,0
2020/10/19/16:06:23.793791,0,1,0,0,0
2020/10/19/16:06:23.798204,0,1,0,0,0
2020/10/19/16:06:23.803404,0,1,0,0,0
2020/10/19/16:06:23.809524,0,1,0,0,0
2020/10/19/16:06:23.814790,0,1,0,0,0
2020/10/19/16:06:23.819634,0,1,0,0,0
2020/10/19/16:06:23.824115,0,1,0,0,0
2020/10/19/16:06:23.828561,0,1,0,0,0
2020/10/19/16:06:23.833242,0,1,0,0,0
2020/10/19/16:06:23.839276,0,1,0,0,0
2020/10/19/16:06:23.843435,0,1,0,0,0
2020/10/19/16:06:23.848485,0,1,0,0,0
2020/10/19/16:06:23.856343,0,1,0,0,0
2020/10/19/16:06:23.859689,0,1,0,0,0
2020/10/19/16:06:23.864538,0,1,0,0,0
2020/10/19/16:06:23.869271,0,1,0,0,0
2020/10/19/16:06:23.874384,0,1,0,0,0
2020/10/19/16:06:23.878176,0,1,0,0,0
2020/10/19/16:06:23.883332,0,1,0,0,0
2020/10/19/16:06:23.888588,0,1,0,0,0
2020/10/19/16:06:23.894176,0,1,0,0,0
2020/10/19/16:06:23.898962,0,1,0,0,0
2020/10/19/16:06:23.903504,0,1,0,0,0
2020/10/19/16:06:23.910318,0,1,0,0,0
2020/10/19/16:06:23.915028,0,1,0,0,0
2020/10/19/16:06:23.921964,0,1,0,0,0
2020/10/19/16:06:23.924308,0,1,0,0,0
2020/10/19/16:06:23.928582,0,1,0,0,0
2020/10/19/16:06:23.934972,0,1,0,0,0
2020/10/19/16:06:23.938068,0,1,0,0,0
2020/10/19/16:06:23.943556,0,1,0,0,0
2020/10/19/16:06:23.949304,0,1,0,0,0
2020/10/19/16:06:23.953340,0,1,0,0,0
2020/10/19/16:06:23.961143,0,1,0,0,0
2020/10/19/16:06:23.963835,0,1,0,0,0
2020/10/19/16:06:23.969210,0,1,0,0,0
2020/10/19/16:06:23.973412,0,1,0,0,0
2020/10/19/16:06:23.978896,0,1,0,0,0
2020/10/19/16:06:23.984305,0,1,0,0,0
2020/10/19/16:06:23.988971,0,1,0,0,0
2020/10/19/16:06:23.993036,0,1,0,0,0
2020/10/19/16:06:23.999261,0,1,0,0,0
2020/10/19/16:06:24.003162,0,1,0,0,0
2020/10/19/16:06:24.008208,0,1,0,0,0
2020/10/19/16:06:24.013866,0,1,0,0,0
2020/10/19/16:06:24.019586,0,1,0,0,0
2020/10/19/16:06:24.024097,0,1,0,0,0
2020/10/19/16:06:24.028994,0,1,0,0,0
2020/10/19/16:06:24.034193,0,1,0,0,0
2020/10/19/16:06:24.038682,0,1,0,0,0
2020/10/19/16:06:24.043672,0,1,0,0,0
2020/10/19/16:06:24.049048,0,1,0,0,0
2020/10/19/16:06:24.053494,0,1,0,0,0
2020/10/19/16:06:24.059757,0,1,0,0,0
2020/10/19/16:06:24.064048,0,1,0,0,0
2020/10/19/16:06:24.068927,0,1,0,0,0
2020/10/19/16:06:24.074230,0,1,0,0,0
2020/10/19/16:06:24.081589,0,1,0,0,0
2020/10/19/16:06:24.085863,0,1,0,0,0
2020/10/19/16:06:24.090395,0,1,0,0,0
2020/10/19/16:06:24.093509,0,1,0,0,0
2020/10/19/16:06:24.098553,0,1,0,0,0
2020/10/19/16:06:24.103573,0,1,0,0,0
2020/10/19/16:06:24.108375,0,1,0,0,0
2020/10/19/16:06:24.113536,0,1,0,0,0
2020/10/19/16:06:24.122129,0,1,0,0,0
2020/10/19/16:06:24.125622,0,1,0,0,0
2020/10/19/16:06:24.128775,0,1,0,0,0
2020/10/19/16:06:24.133899,0,1,0,0,0
2020/10/19/16:06:24.138855,0,1,0,0,0
2020/10/19/16:06:24.143827,0,1,0,0,0
2020/10/19/16:06:24.149367,0,1,0,0,0
2020/10/19/16:06:24.152972,0,1,0,0,0
2020/10/19/16:06:24.158139,0,1,0,0,0
2020/10/19/16:06:24.163064,0,1,0,0,0
2020/10/19/16:06:24.169267,0,1,0,0,0
2020/10/19/16:06:24.174009,0,1,0,0,0
2020/10/19/16:06:24.178684,0,1,0,0,0
2020/10/19/16:06:24.186109,0,1,0,0,0
2020/10/19/16:06:24.195415,0,1,0,0,0
2020/10/19/16:06:24.195481,0,1,0,0,0
2020/10/19/16:06:24.202379,0,1,0,0,0
2020/10/19/16:06:24.203626,0,1,0,0,0
2020/10/19/16:06:24.209016,0,1,0,0,0
2020/10/19/16:06:24.213609,0,1,0,0,0
2020/10/19/16:06:24.218665,0,1,0,0,0
2020/10/19/16:06:24.223417,0,1,0,0,0
2020/10/19/16:06:24.228571,0,1,0,0,0
2020/10/19/16:06:24.233218,0,1,0,0,0
2020/10/19/16:06:24.238279,0,1,0,0,0
2020/10/19/16:06:24.243112,0,1,0,0,0
2020/10/19/16:06:24.248188,0,1,0,0,0
2020/10/19/16:06:24.253764,0,1,0,0,0
2020/10/19/16:06:24.259261,0,1,0,0,0
2020/10/19/16:06:24.263691,0,1,0,0,0
2020/10/19/16:06:24.268615,0,1,0,0,0
2020/10/19/16:06:24.273837,0,1,0,0,0
2020/10/19/16:06:24.282278,0,1,0,0,0
2020/10/19/16:06:24.286434,0,1,0,0,0
2020/10/19/16:06:24.290109,0,1,0,0,0
2020/10/19/16:06:24.300670,0,1,0,0,0
2020/10/19/16:06:24.301443,0,1,0,0,0
2020/10/19/16:06:24.304533,0,1,0,0,0
2020/10/19/16:06:24.308305,0,1,0,0,0
2020/10/19/16:06:24.313740,0,1,0,0,0
2020/10/19/16:06:24.318274,0,1,0,0,0
2020/10/19/16:06:24.323584,0,1,0,0,0
2020/10/19/16:06:24.329141,0,1,0,0,0
2020/10/19/16:06:24.334563,0,1,0,0,0
2020/10/19/16:06:24.339269,0,1,0,0,0
2020/10/19/16:06:24.346845,0,1,0,0,0
2020/10/19/16:06:24.349485,0,1,0,0,0
2020/10/19/16:06:24.354506,0,1,0,0,0
2020/10/19/16:06:24.359242,0,1,0,0,0
2020/10/19/16:06:24.363299,0,1,0,0,0
2020/10/19/16:06:24.369230,0,1,0,0,0
2020/10/19/16:06:24.373615,0,1,0,0,0
2020/10/19/16:06:24.379164,0,1,0,0,0
2020/10/19/16:06:24.384320,0,1,0,0,0
2020/10/19/16:06:24.389398,0,1,0,0,0
2020/10/19/16:06:24.394470,0,1,0,0,0
2020/10/19/16:06:24.402351,0,1,0,0,0
2020/10/19/16:06:24.403941,0,1,0,0,0
2020/10/19/16:06:24.408596,0,1,0,0,0
2020/10/19/16:06:24.413006,0,1,0,0,0
2020/10/19/16:06:24.418736,0,1,0,0,0
2020/10/19/16:06:24.423951,0,1,0,0,0
2020/10/19/16:06:24.429278,0,1,0,0,0
2020/10/19/16:06:24.434078,0,1,0,0,0
2020/10/19/16:06:24.438875,0,1,0,0,0
2020/10/19/16:06:24.444224,0,1,0,0,0
2020/10/19/16:06:24.450236,0,1,0,0,0
2020/10/19/16:06:24.456632,0,1,0,0,0
2020/10/19/16:06:24.459503,0,1,0,0,0
2020/10/19/16:06:24.463993,0,1,0,0,0
2020/10/19/16:06:24.468705,0,1,0,0,0
2020/10/19/16:06:24.473721,0,1,0,0,0
2020/10/19/16:06:24.478815,0,1,0,0,0
2020/10/19/16:06:24.483809,0,1,0,0,0
2020/10/19/16:06:24.490213,0,1,0,0,0
2020/10/19/16:06:24.494306,0,1,0,0,0
2020/10/19/16:06:24.501772,0,1,0,0,0
2020/10/19/16:06:24.505730,0,1,0,0,0
2020/10/19/16:06:24.508698,0,1,0,0,0
2020/10/19/16:06:24.514049,0,1,0,0,0
2020/10/19/16:06:24.518305,0,1,0,0,0
2020/10/19/16:06:24.523506,0,1,0,0,0
2020/10/19/16:06:24.528443,0,1,0,0,0
