rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,magnetic_field,x,y,z,magnetic_field_covariance
1606295492784632469,,90448,,1606295492,898850108,"""spatial""",,5.00071685791e-05,-1.92881546021e-05,2.85534576416e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295492820568104,,90449,,1606295492,933460081,"""spatial""",,5.05235198975e-05,-1.82608901978e-05,2.82737884521e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295492879487887,,90450,,1606295492,994245479,"""spatial""",,5.09079772949e-05,-1.73667633057e-05,2.79657104492e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295492916649067,,90451,,1606295493,31072140,"""spatial""",,5.12335388184e-05,-1.64142562866e-05,2.76619903564e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295492966518641,,90452,,1606295493,80093738,"""spatial""",,5.15449890137e-05,-1.54459503174e-05,2.74352355957e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295493019273684,,90453,,1606295493,133941686,"""spatial""",,5.18609375e-05,-1.4739553833e-05,2.71517700195e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295493079032220,,90454,,1606295493,193415609,"""spatial""",,5.20561950684e-05,-1.41645751953e-05,2.6894921875e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295493125097430,,90455,,1606295493,239349957,"""spatial""",,5.22874328613e-05,-1.38750839233e-05,2.66483551025e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295493184201655,,90456,,1606295493,298471480,"""spatial""",,5.23301452637e-05,-1.36956832886e-05,2.6456237793e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295493216850261,,90457,,1606295493,331000179,"""spatial""",,5.24228820801e-05,-1.35685668945e-05,2.63338989258e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295493275190770,,90458,,1606295493,388981826,"""spatial""",,5.24617980957e-05,-1.35064208984e-05,2.61881195068e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295493319297518,,90459,,1606295493,434313850,"""spatial""",,5.24412597656e-05,-1.35849197388e-05,2.61728027344e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295493383828649,,90460,,1606295493,498646385,"""spatial""",,5.24141784668e-05,-1.37224182129e-05,2.61744934082e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295493416731911,,90461,,1606295493,531276846,"""spatial""",,5.23486877441e-05,-1.39364532471e-05,2.62807006836e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295493480164234,,90462,,1606295493,588951256,"""spatial""",,5.22616333008e-05,-1.42640029907e-05,2.64997833252e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295493534555634,,90463,,1606295493,638339554,"""spatial""",,5.21356323242e-05,-1.46239028931e-05,2.6613861084e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295493579380380,,90464,,1606295493,693721302,"""spatial""",,5.20567993164e-05,-1.4888444519e-05,2.66264343262e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295493618298670,,90465,,1606295493,730355088,"""spatial""",,5.2096697998e-05,-1.48838729858e-05,2.65247436523e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295493670662398,,90466,,1606295493,784256036,"""spatial""",,5.20900085449e-05,-1.50138442993e-05,2.65563049316e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295493719802122,,90467,,1606295493,833696397,"""spatial""",,5.20223205566e-05,-1.50401443481e-05,2.65550476074e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295493774625509,,90468,,1606295493,889388082,"""spatial""",,5.20532836914e-05,-1.51089904785e-05,2.65446075439e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295493829921711,,90469,,1606295493,943671905,"""spatial""",,5.20880554199e-05,-1.51096969604e-05,2.65249908447e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295493873912031,,90470,,1606295493,988483666,"""spatial""",,5.19795043945e-05,-1.51360595703e-05,2.65828918457e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295493918745920,,90471,,1606295494,33495127,"""spatial""",,5.20881164551e-05,-1.51357543945e-05,2.65369140625e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
